# строка-комментарий - такие слова скрыты от приложения, не показываются в тренажёрах

# κάνω                         : to do / делать (group A1)
φτιάχνω                      : to make, create / делать, создавать (group A1)
δημιουργώ                    : to create (group Β2)
δημιουργούμαι                : to be created (group Γ)
προγραμματίζω                : to plan, organise / планировать (group A1)
οργανώνω                     : to organize (group Α)
κανονίζω                     : to arrange, plan, set a date for / организовать, спланировать, назначить дату для (group Α)
διευθύνω                     : to manage / to coordinate (group Α)
ρυθμίζω                      : to adjust, set (group Α)
ενημερώνω                    : to update (group A1)

# βάζω                         : to put, to put on / класть, надевать (group A1)
σηκώνω                       : to raise, put up / поднимать (group Α)
ανεβάζω                      : to take up, lift (group Α1)
βγάζω                        : to take off, take out / снимать, вынимать (одежду/вещи) (group A1)
βγάζω εισιτήριο              : to buy/get a ticket (group A1)
βγάζω φωτογραφίες            : to take photos (group A1)
πέφτω                        : to fall, drop / падать, ронять (group A1)
# δίνω                         : to give / давать (group A1)
χαρίζω                       : to give or offer as a gift (group A1)
# παίρνω                       : to take / брать (group A1)
αποκτάω / ώ                  : to acquire / приобрести (group Β1) => αποκτώ παρέες
ανοίγω                       : to open / открывать (group A1)
κλείνω                       : to close / закрывать + book /tickets/ (group A1)
κλειδώνω                     : to lock (door, etc) (group Α1)
ψάχνω                        : to look for / искать (group A1)
βρίσκω                       : to find / находить (group A1)
ανακαλύπτω                   : to discover, uncover (group Α)
κρύβω                        : to hide (group Α1)
χάνω                         : to lose / терять (group A1)
αφήνω                        : to leave / оставлять (group A1)
στέλνω                       : to send / отправлять (group A1)
διώχνω                       : to chase away / прогонять, expel / изгонять (group Α1)
φέρνω                        : to carry, bring / приносить (group A1)
δείχνω                       : to point, show / указывать, показывать (group A1)
ανάβω                        : to switch on / включать (group A1)

χρησιμοποιώ                  : to use / использовать (group B2)
ξαναχρησιμοποιώ              : to use again (group B2)
επαναχρησιμοποιώ             : to reuse (group B2)
μαζεύω                       : to collect (group Α)
ανακυκλώνω                   : to recycle (group Α)
μολύνω                       : to pollute (!?water) (group Α)
ρυπαίνω                      : to infect/pollute (!?air) (group Α)
ξοδεύω                       : to spend, consume (group Α)
σώζω                         : to save (group Α)

αλλάζω                       : to change / менять (group A)
δοκιμάζω                     : to try on / примерять (group A1)
κρατάω                       : to hold / держать (group B1)
πιάνω                        : to hold / держать + catch, grab (group A1)
χωράω / ώ                    : to hold, contain (group B1)
αγγίζω                       : to touch (group Α)
πετάω                        : to fly + throw / throw away (group Β1) => past s. έπιασα
χτυπάω / ώ                   : to hit (group Β1)
δένω                         : to tie / связывать (group Α) => past s. έδεσα
ξεκουράζω                    : to rest + give rest to / отдохнуть + дать отдых (group Α)
σκοτώνω                      : to kill / to hurt (group Α)
χτίζω                        : to build (group A)
διορθώνω                     : to correct, fix / исправлять (group A1)
επιδιορθώνω                  : to repair, to fix (group Α)
χαλάω / ώ                    : to break, ruin, destroy, spoil (group Β1)
γκρεμίζω                     : to demolish / снести (group Α)
καταστρέφω                   : to destroy, ruin (group Α)

συμπληρώνω                   : to fill / заполнять (group A1)
αδειάζω                      : to empty, to clear out (group A)
ενώνω                        : to connect / соединять (group A1)
κολλάω                       : to glue, attach / приклеивать (group B1)
χωρίζω / ξεχωρίζω            : to separate, divide (group A1)
διακρίνω                     : to distinguish / различать (group Α)
προφυλάσσω                   : to protect (group Α)
προστατεύω                   : to protect (group Α)
αυξάνω                       : to increase, raise (group Α)
μειώνω                       : to reduce (group Α)

επιτρέπω                     : to allow, permit (group A)
απαγορεύω                    : to forbid (group Α)
απαγορεύομαι                 : to be forbidden (group Γ)
συμβουλεύω                   : to advise (group Α)
ζημιώνω                      : to wrong, to disservice / навредить (group Α)
ασφαλίζω                     : to insure / застраховать (group Α)

στεγνώνω                     : to dry (group Α)
βρέχω                        : to wet (group Α)
θερμαίνω                     : to heat (group Α)
ζεσταίνω                     : to warm, heat up / греть, нагревать (group A1)
κόβω                         : to cut / резать (group A1)
σπάζω                        : to break / ломать (group A1)
ρίχνω                        : to drop, add? / бросать, добавлять? (group A1)
ανακατεύω                    : to mix / смешивать (group A1)
τρίβω                        : to grate / тереть (group A1)
βράζω                        : to boil (group Α1)
απλώνω                       : to spread (group Α1)
ξεπλένω                      : to wash away / смыть (group Α1)
προσθέτω                     : to add (group Α1)
λιώνω                        : to mash (group Α1)

ζωγραφίζω                    : to draw / рисовать (group A1)
σχεδιάζω                     : to draw, design, plan (group Α1) => Είμαι αρχιτέκτονας, σχεδιάζω σπίτια
βάφω                         : to paint / красить (group A1)
στολίζω                      : to adorn, decorate / украшать (group A1)
ράβω / πλέκω                 : to knit / вязать (group A1)

στρώνω                       : to cover (group A1) => θα στρώσω στο τραπέζι το καινούριο τραπεζομάντιλο
στρώνω                       : to lay (group A1) => Έστρωσα τα χαλιά = I laid the carpets
καλύπτω                      : to cover (group Α1)
σκουπίζω                     : to wipe, dry (group A1)
φωτίζω                       : to light (group A1) => Αυτό το φωτιστικό φωτίζει ωραία

καλλιεργώ (τον κήπο μου)     : to cultivate/grow trees/plants (group B2)
φυτεύω                       : to plant (group A1)
φροντίζω                     : to take care of (a child, an obligation, etc.) (group A1)
ποτίζω                       : to water / поливать (group A)

προβάλλω                     : to present, to project / проецировать, to screen / показывать (group Α)
φορτώνω                      : to load / загружать (group Α)

# доп
καπνίζω                      : to smoke / курить (group A1)
σβήνω                        : to extinguish / тушить (group A1)

# μαγεύω                       : to cast a spell (on), to bewitch, to charm / накладывать заклинание (на), очаровывать, пленять (group Α)
